"id","address","raw_state","state","stage","notes","created_date","modified_date","priority","country_id","org_id","proposal_sent_date","is_lite"
2133241110,,NSW,NSW,"0",,2025-11-01 01:43:05.409,2025-11-01 05:19:40.064,2,14,4462388,2025-11-01 05:19:56.866,true
2133246456,,CALABARZON,CALABARZON,"0",,2025-11-01 01:43:36.283,2025-11-01 01:43:36.341,2,173,20319887,,false
2133251802,,,,"0",,2025-11-01 01:43:55.047,2025-11-10 17:11:20.033,2,232,12062947,2025-11-10 17:11:20.174,false
2133262494,,CALABARZON,CALABARZON,"0",,2025-11-01 01:45:11.809,2025-11-01 03:06:25.072,2,173,52509807,,false
2133267840,,QLD,QLD,"0",,2025-11-01 01:45:18.472,2025-11-04 06:52:22.231,2,14,5156865,2025-11-04 06:02:47.281,false
2133273186,,CA,CA,"0",,2025-11-01 01:46:33.702,2025-11-01 02:23:30.132,2,234,7121240,2025-11-01 01:57:47.540,false
2133278532,,VIC,VIC,"0",,2025-11-01 01:47:11.891,2025-11-11 01:54:03.631,2,14,31423112,,true
2133283878,,,,"0",-,2025-11-01 01:47:14.781,2025-11-01 01:47:14.849,2,65,2143776,,false
2133294570,,QLD,QLD,"0",,2025-11-01 01:47:21.265,2025-11-01 01:56:22.191,2,14,2327600,2025-11-01 01:56:22.327,false
2133321300,,SA,SA,"0",,2025-11-01 01:49:12.898,2025-11-01 01:49:13.061,2,14,52018460,,false
2133326646,,VIC,VIC,"0",,2025-11-01 01:49:25.614,2025-11-03 00:12:43.803,2,14,30379342,2025-11-02 22:37:54.684,false
2133337338,,NSW,NSW,"0",,2025-11-01 01:49:37.403,2025-11-01 01:53:26.088,2,14,671976,,true
2133353376,,,,"0",,2025-11-01 01:50:10.631,2025-11-01 01:50:11.355,2,232,12062947,,false
2133364068,,NSW,NSW,"0",,2025-11-01 01:50:28.951,2025-11-02 13:07:56.185,2,14,3298575,2025-11-01 03:33:55.419,false
2133369414,,VIC,VIC,"0",,2025-11-01 01:50:42.795,2025-11-01 03:09:52.046,2,14,31423112,,true
2133374760,,VIC,VIC,"0",,2025-11-01 01:51:02.926,2025-11-01 01:51:02.987,2,14,3428509,,false
2133380106,,VIC,VIC,"0",,2025-11-01 01:51:36.155,2025-11-01 02:01:03.031,2,14,1562282,2025-11-01 02:01:03.135,false
2133385452,,CENTRAL VISAYAS,CENTRAL VISAYAS,"0",,2025-11-01 01:51:59.244,2025-11-01 04:40:21.455,2,173,18769152,2025-11-01 01:54:54.753,false
2133390798,,NSW,NSW,"0",,2025-11-01 01:52:10.612,2025-11-01 01:52:10.727,2,14,42646580,,false
